Colonial Motors - Service Centre,6.969885,79.884565,Auto Workshop,Shop & Service,4,2,Professional
L K International,6.980621,79.890216,Travel Agency,Shop & Service,13,3,Transportation
Carepoint,6.976836,79.888321,Car Wash,Shop & Service,16,12,Commercial & Mercantile
wedagama,6.978362,80.158821,Alternative Healer,Professional & Other Places,8,4,Professional
Seethawaka BOI Zone,6.972537,80.21062,Factory,Professional & Other Places,25,6,Professional
Brandix Intimate Apparel Awissawella - BIAV1,6.969986,80.210614,Factory,Professional & Other Places,5,2,Professional
Industrial Clothings Ltd. - Prime Polymers Division,6.972482,80.208588,Factory,Professional & Other Places,23,5,Professional
Baker Street,6.961886,79.868542,Bakery,Food,217,48,Professional
Commercial Bank,6.964294,79.870018,Bank,Shop & Service,152,50,Commercial & Mercantile
Ceylon Pencil Co,6.963173,79.876247,Factory,Professional & Other Places,46,13,Professional
HNB Bank,6.970211,79.8733,Bank,Shop & Service,49,20,Commercial & Mercantile
Suganth International Pvt.Ltd,6.968898,79.881165,Factory,Professional & Other Places,4,3,Professional
DILMAH - MJF HO,6.964091,79.880288,Office,Professional & Other Places,178,38,Professional
Negombo Road Peliyagoda,6.96656,79.882825,Road,Travel & Transport,26,15,Transportation
Salon Nayana,6.966949,79.875219,Salon / Barbershop,Shop & Service,4,4,Hotels & Restaurants
Kanda Uda Junction,6.970117,79.873792,Rest Area,Travel & Transport,39,18,Transportation
"Electrical Installation Workshop, HNDE",6.968465,79.877166,College Lab,College & University,3,2,Education
Rodney Street,6.968745,79.877691,Road,Travel & Transport,2,2,Transportation
St. James Church,6.967473,79.875061,Church,Professional & Other Places,9,6,Residential
Mega Mart,6.965608,79.882399,Toy / Game Store,Shop & Service,11,9,Commercial & Mercantile
ADees Summer Hut,6.970963,79.876083,Beer Garden,Nightlife Spot,45,3,Recreation
HNB,6.965687,79.882523,Bank,Shop & Service,8,5,Commercial & Mercantile
Judaz Joint,6.970926,79.875821,Hookah Bar,Nightlife Spot,18,3,Hotels & Restaurants
Victor,6.962975,79.876941,Department Store,Shop & Service,3,3,Administration
Lanka Filling Station Peliyagoda,6.964589,79.881912,Gas Station,Shop & Service,57,38,Commercial & Mercantile
macwoods head office,6.965473,79.882355,Building,Professional & Other Places,2,2,Professional
Hero Abans,6.962643,79.881437,Motorcycle Shop,Shop & Service,7,6,Hotels & Restaurants
Prince Plastics Industries (PVT) LTD,6.967019,79.883498,Factory,Professional & Other Places,208,9,Professional
Central Fish Market Complex,6.968555,79.888337,Fish Market,Shop & Service,128,85,Commercial & Mercantile
Cargills Food City,6.968293,79.884034,Grocery Store,Shop & Service,133,95,Commercial & Mercantile
ARAMEX,6.967007,79.883093,Post Office,Professional & Other Places,69,27,Professional
MAS ACTIVE Synergy,6.961288,80.2102,Factory,Professional & Other Places,94,7,Professional
Industrial Zone BOI,6.960401,80.209401,Factory,Professional & Other Places,73,54,Professional
Flag & Whistle,6.952584,79.858761,German Restaurant,Food,477,280,Hotels & Restaurants
Colombo Dockyard PLC,6.953416,79.857199,Factory,Professional & Other Places,702,78,Professional
Cambridge College Of Higher Education,6.956428,79.861623,College Academic Building,College & University,34,4,Education
MSJ Industries,6.955094,79.860452,Factory,Professional & Other Places,7,2,Professional
